IN_C,IN_H,IN_W,OP_TYPE,NCHW,NHWC
64,56,56,add,0.012277333158999681,0.0122058667242527
128,28,28,add,0.01077386662364006,0.010722133051604032
256,14,14,add,0.009556266851723194,0.009619199950248004
512,7,7,add,0.008447999693453312,0.008671999908983707
