IN_C,IN_H,IN_W,OP_TYPE,NCHW,NHWC
64,56,56,add,0.01220906674861908,0.012410667072981597
128,28,28,add,0.010824533086270094,0.010788800194859505
256,14,14,add,0.009563733357936144,0.009530133288353681
512,7,7,add,0.008579199761152267,0.008417066466063262
64,56,56,relu,0.01111680017784238,0.011051200050860643
128,28,28,relu,0.010067733656615018,0.010326933022588492
256,14,14,relu,0.00900053335353732,0.00904906652867794
512,7,7,relu,0.008151466678828,0.008019199874252082
