IN_C,IN_H,IN_W,OP_TYPE,NCHW,NHWC
64,56,56,add,0.013245866727083921,0.013189333211630582
128,28,28,add,0.011762133333832026,0.011699733324348927
256,14,14,add,0.010200533457100392,0.010500266775488853
512,7,7,add,0.00898826690390706,0.009123733453452586
