IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,7,7,2,2,3,3,relu,0.04334933422505856,0.048571735993027686,0.05275306664407253,0.05751466602087021
64,56,56,64,64,3,3,1,1,1,1,relu,0.06222506202757359,0.07393280193209648,0.0810154639184475,0.09094826802611351
64,56,56,64,64,3,3,1,1,1,1,identity,0.05686613395810127,0.06818133741617202,0.0759466715157032,0.08540160059928895
64,56,56,128,64,1,1,2,2,0,0,relu,0.03150506652891636,0.03558400049805641,0.03582293428480625,0.04005546607077122
64,56,56,128,64,3,3,2,2,1,1,relu,0.06113280095160008,0.07038293182849883,0.06645759865641594,0.06558719724416733
128,28,28,128,128,3,3,1,1,1,1,identity,0.06280533373355865,0.0730282723903656,0.06833493337035179,0.0784725308418274
128,28,28,128,128,3,3,1,1,1,1,relu,0.06833493635058403,0.07818239703774452,0.07418880164623261,0.08296106681227684
128,28,28,256,128,1,1,2,2,0,0,relu,0.03510613329708576,0.03937279880046844,0.04089173190295696,0.04507306851446628
128,28,28,256,128,3,3,2,2,1,1,relu,0.0663893312215805,0.07548587173223495,0.0724309355020523,0.08089599609375
256,14,14,256,256,3,3,1,1,1,1,identity,0.07301120460033417,0.08241493329405784,0.07790933102369309,0.08809813484549522
256,14,14,256,256,3,3,1,1,1,1,relu,0.07731199935078621,0.08758613243699073,0.08265386670827865,0.08191999718546868
256,14,14,512,256,1,1,2,2,0,0,relu,0.037717335671186444,0.0417279988527298,0.04466346800327301,0.04976640045642853
256,14,14,512,256,3,3,2,2,1,1,relu,0.06596266478300095,0.07386453598737716,0.07125333696603775,0.07854079753160477
512,7,7,512,512,3,3,1,1,1,1,identity,0.07596373930573463,0.08337066546082497,0.08082772940397262,0.08792746886610985
512,7,7,512,512,3,3,1,1,1,1,relu,0.079837866127491,0.08702293559908866,0.08480426371097564,0.09198933243751525
