IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,11,11,4,4,2,2,relu,0.048981336131691935,0.04906666986644268,0.04858880266547203,0.048554669320583346
64,28,28,192,64,5,5,1,1,2,2,relu,0.07038293182849883,0.06539946570992469,0.07249920666217805,0.07106560170650482
192,14,14,384,192,3,3,1,1,0,0,relu,0.07024639844894409,0.07541760578751563,0.07253333628177643,0.07780692949891091
384,12,12,256,384,3,3,1,1,0,0,relu,0.0844117283821106,0.08990719765424729,0.08704000189900399,0.0922965332865715
256,10,10,256,256,3,3,1,1,0,0,relu,0.07398400157690048,0.07915519773960114,0.0760661393404007,0.08149332851171494
