IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,11,11,4,4,2,2,relu,0.04957866594195366,0.05411839857697487,0.053725865483283994,0.057753599062561986
64,28,28,192,64,5,5,1,1,2,2,relu,0.07010986506938935,0.06980266720056534,0.07577600479125976,0.07499093562364578
192,14,14,384,192,3,3,1,1,0,0,relu,0.07005866542458535,0.07982080057263374,0.07545173689723014,0.08543572947382927
384,12,12,256,384,3,3,1,1,0,0,relu,0.0838826633989811,0.0944640003144741,0.08973653316497802,0.09977172911167145
256,10,10,256,256,3,3,1,1,0,0,relu,0.07347200140357017,0.08287573531270027,0.07900159955024719,0.08835413530468941
