IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,3,3,1,1,1,1,relu,0.04220586568117142,0.050124799460172655,0.04556799940764904,0.05340159796178341
64,224,224,64,64,3,3,1,1,1,1,relu,0.1508181393146515,0.17962666600942612,0.15744000375270845,0.15730346888303756
64,112,112,128,64,3,3,1,1,1,1,relu,0.08616960197687148,0.10071039497852326,0.10649599656462669,0.11941546946763992
128,112,112,128,128,3,3,1,1,1,1,relu,0.11432959958910942,0.13649918884038925,0.11965440735220909,0.1374378591775894
128,56,56,256,128,3,3,1,1,1,1,relu,0.07384746596217155,0.07316480353474616,0.07915519773960114,0.0786261335015297
256,56,56,256,256,3,3,1,1,1,1,relu,0.12364799305796623,0.1234261266887188,0.1293141409754753,0.12832427024841309
256,28,28,512,256,3,3,1,1,1,1,relu,0.08511146530508995,0.09608533829450608,0.09067520275712013,0.10168319642543792
512,28,28,512,512,3,3,1,1,1,1,relu,0.12214613929390908,0.11011413484811783,0.11598506346344947,0.11479040011763572
512,14,14,512,512,3,3,1,1,1,1,relu,0.09734826982021332,0.10615466088056565,0.101887995749712,0.11025066822767257
