IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,3,3,1,1,1,1,relu,0.04116479903459549,0.041437866166234016,0.04148906581103802,0.041335465759038924
64,224,224,64,64,3,3,1,1,1,1,relu,0.14928213655948638,0.164607997238636,0.16081920117139817,0.1431040033698082
64,112,112,128,64,3,3,1,1,1,1,relu,0.08504319936037064,0.09263786450028419,0.1021781325340271,0.10871466547250748
128,112,112,128,128,3,3,1,1,1,1,relu,0.11304960399866104,0.12414292767643928,0.1172138661146164,0.12706134021282195
128,56,56,256,128,3,3,1,1,1,1,relu,0.0723968043923378,0.06647466495633125,0.07522986829280853,0.06882986426353455
256,56,56,256,256,3,3,1,1,1,1,relu,0.12260692790150643,0.11562666818499565,0.12445013076066971,0.10132479667663574
256,28,28,512,256,3,3,1,1,1,1,relu,0.07323306873440742,0.08139093071222306,0.07502507120370865,0.07997440174221992
512,28,28,512,512,3,3,1,1,1,1,relu,0.10980693474411965,0.1040725365281105,0.11194027215242386,0.10623999089002609
512,14,14,512,512,3,3,1,1,1,1,relu,0.09813333228230477,0.1021439976990223,0.09746773540973663,0.10424319729208946
