IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,7,7,2,2,3,3,relu,0.04420266710221767,0.04865706823766232,0.053486930578947066,0.0579584002494812
64,56,56,256,64,1,1,1,1,0,0,relu,0.036317868158221245,0.041727999597787856,0.03976533338427544,0.04476586803793907
64,56,56,64,64,1,1,1,1,0,0,relu,0.036215468496084216,0.041250132769346234,0.03995306678116321,0.0449194673448801
64,56,56,64,64,3,3,1,1,1,1,relu,0.06319786794483662,0.07616853415966034,0.0826368011534214,0.09289386644959449
64,56,56,64,64,1,1,1,1,0,0,identity,0.03138559926301241,0.03672746829688549,0.03561813421547413,0.042632531747221945
64,56,56,512,64,1,1,2,2,0,0,relu,0.03346773386001587,0.036846935749053955,0.038280533999204634,0.0423423994332552
64,56,56,128,64,1,1,2,2,0,0,relu,0.033314133435487746,0.03657386787235737,0.03874133341014385,0.04235946573317051
128,28,28,128,128,3,3,1,1,1,1,relu,0.06949546635150909,0.08168106377124787,0.20604586973786354,0.08714239820837974
128,28,28,128,128,1,1,1,1,0,0,identity,0.03256319984793663,0.03787093423306942,0.04287146516144276,0.04317866675555706
128,28,28,128,128,1,1,1,1,0,0,relu,0.03693226762115955,0.041949864104390146,0.04782080315053463,0.04833280295133591
128,28,28,1024,128,1,1,2,2,0,0,relu,0.03584000207483769,0.040413866937160495,0.042393599450588224,0.046301865950226784
128,28,28,256,128,1,1,2,2,0,0,relu,0.03594240136444569,0.040430933609604834,0.04239359870553017,0.04633600004017353
256,14,14,256,256,3,3,1,1,1,1,relu,0.07801173180341721,0.0879616029560566,0.08712532892823219,0.09391786605119705
256,14,14,256,256,1,1,1,1,0,0,identity,0.038980265334248546,0.10455039888620377,0.05323093459010124,0.10985813513398171
256,14,14,256,256,1,1,1,1,0,0,relu,0.04379306770861149,0.10951680094003677,0.062327465415000914,0.10067627355456352
256,14,14,2048,256,1,1,2,2,0,0,relu,0.039082666486501695,0.043042132258415224,0.047889064997434616,0.05307733342051506
256,14,14,512,256,1,1,2,2,0,0,relu,0.03892906755208969,0.04336640052497387,0.048042666912078855,0.05271893329918385
512,7,7,512,512,3,3,1,1,1,1,relu,0.08154453039169311,0.08924160152673721,0.0872448019683361,0.09429333508014678
512,7,7,512,512,1,1,1,1,0,0,identity,0.0475477360188961,0.051609599590301515,0.05976746715605259,0.06577493399381637
512,7,7,512,512,1,1,1,1,0,0,relu,0.05126826465129852,0.055500800162553786,0.06372693181037903,0.07005866691470146
