IN_C,IN_H,IN_W,OP_TYPE,NCHW,NHWC
64,56,56,add,0.010478933155536652,0.01032533310353756
128,28,28,add,0.01000106642022729,0.009983999654650688
256,14,14,add,0.010274133179336786,0.009591466654092074
512,7,7,add,0.009318400081247092,0.009301333595067263
