IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,3,3,1,1,1,1,relu,0.04189866632223129,0.041813330724835396,0.04198399931192398,0.04160853177309036
64,224,224,64,64,3,3,1,1,1,1,relu,0.15064747780561447,0.1650176003575325,0.15865173637866975,0.1435477390885353
64,112,112,128,64,3,3,1,1,1,1,relu,0.08540159836411476,0.09342293292284012,0.10250239819288254,0.10965332984924317
128,112,112,128,128,3,3,1,1,1,1,relu,0.1139882706105709,0.12782933190464973,0.11383466646075249,0.11885226964950561
128,56,56,256,128,3,3,1,1,1,1,relu,0.06942720115184783,0.0638464018702507,0.07154347151517867,0.06603092923760415
256,56,56,256,256,3,3,1,1,1,1,relu,0.11550719812512397,0.10893653035163879,0.11728213429450988,0.11132586747407913
256,28,28,512,256,3,3,1,1,1,1,relu,0.0801279976963997,0.08550399616360664,0.08200533166527749,0.0903509333729744
512,28,28,512,512,3,3,1,1,1,1,relu,0.12101973816752434,0.11450026631355285,0.12282879501581193,0.11653119996190071
512,14,14,512,512,3,3,1,1,1,1,relu,0.10530132874846458,0.11625813692808151,0.10661546513438225,0.11219627261161805
