IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,3,3,1,1,1,1,relu,0.11043840274214745,0.23292586654424668,0.10642773434519767,0.2299904003739357
64,112,112,128,64,3,3,1,1,1,1,relu,0.131413334608078,0.14208000004291535,0.10142719373106956,0.12296534106135368
128,56,56,256,128,3,3,1,1,1,1,relu,0.09992533773183823,0.11832320392131805,0.1437696024775505,0.12422826066613198
256,56,56,256,256,3,3,1,1,1,1,relu,0.1347242645919323,0.12260692566633224,0.1512618750333786,0.14663680642843246
256,28,28,512,256,3,3,1,1,1,1,relu,0.09780906736850739,0.1102506697177887,0.11854506954550743,0.1169407993555069
512,28,28,512,512,3,3,1,1,1,1,relu,0.14945279508829118,0.14825813323259354,0.15564799755811692,0.1520981341600418
512,14,14,512,512,3,3,1,1,1,1,relu,0.13344426155090333,0.1233066625893116,0.14581759572029113,0.14699520617723466
