IN_C,IN_H,IN_W,OP_TYPE,NCHW,NHWC
64,56,56,add,0.010461866483092308,0.010478933155536652
128,28,28,add,0.00979626625776291,0.009949866309762
256,14,14,add,0.009489066433161497,0.00960853323340416
512,7,7,add,0.00945493346080184,0.009335466753691435
64,56,56,relu,0.010291199758648872,0.010205866396427154
128,28,28,relu,0.00969386650249362,0.009642666764557361
256,14,14,relu,0.009506133571267127,0.009318399988114835
512,7,7,relu,0.009147733636200427,0.009250133577734233
