IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,7,7,2,2,3,3,relu,0.06647466644644737,0.06795946434140206,0.06644053310155869,0.06546773239970208
64,56,56,256,64,1,1,1,1,0,0,relu,0.04056746549904346,0.060569602996110916,0.06091093569993973,0.03959466554224491
64,56,56,64,64,1,1,1,1,0,0,relu,0.034781867265701295,0.033706667646765706,0.03606186844408512,0.035891201347112656
64,56,56,64,64,3,3,1,1,1,1,relu,0.06202026419341564,0.06893226429820061,0.07818240001797676,0.0842410646378994
64,56,56,64,64,1,1,1,1,0,0,identity,0.029849599488079546,0.029422932490706443,0.030975999496877193,0.030924799107015132
64,56,56,512,64,1,1,2,2,0,0,relu,0.040703998506069185,0.03933866508305073,0.04507306851446628,0.04363946914672852
64,56,56,128,64,1,1,2,2,0,0,relu,0.03246079944074154,0.03280213288962841,0.033535999804735185,0.033672533556818963
128,28,28,128,128,3,3,1,1,1,1,relu,0.06823253408074378,0.07292587235569954,0.07038293182849883,0.07606613859534264
128,28,28,128,128,1,1,1,1,0,0,identity,0.031061331927776336,0.03126613199710846,0.03819520175457001,0.03394560068845749
128,28,28,128,128,1,1,1,1,0,0,relu,0.03592533469200134,0.03619840182363987,0.04334933459758759,0.039116799086332324
128,28,28,1024,128,1,1,2,2,0,0,relu,0.04336640015244484,0.04411733485758305,0.048742401972413064,0.04862293526530266
128,28,28,256,128,1,1,2,2,0,0,relu,0.035618134588003156,0.03601066879928112,0.04270079769194126,0.04264959692955017
256,14,14,256,256,3,3,1,1,1,1,relu,0.07720959931612015,0.0830122672021389,0.079786666482687,0.08523093163967133
256,14,14,256,256,1,1,1,1,0,0,identity,0.03804160170257091,0.08427520170807838,0.03906559944152832,0.08372906520962715
256,14,14,256,256,1,1,1,1,0,0,relu,0.03723946735262871,0.08710826858878136,0.04066986553370953,0.08821759968996049
256,14,14,2048,256,1,1,2,2,0,0,relu,0.04623359963297844,0.04700160138309002,0.05084159821271896,0.05154133215546608
256,14,14,512,256,1,1,2,2,0,0,relu,0.037376001849770545,0.037768535688519476,0.040857598558068274,0.04213759861886501
512,7,7,512,512,3,3,1,1,1,1,relu,0.0797695979475975,0.08366079553961754,0.08193706274032593,0.0855210654437542
512,7,7,512,512,1,1,1,1,0,0,identity,0.04602879993617535,0.04633599929511547,0.053094397857785226,0.05620053485035896
512,7,7,512,512,1,1,1,1,0,0,relu,0.04976640082895756,0.050175998359918594,0.05647360160946846,0.059716269746422766
