IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,7,7,2,2,3,3,relu,0.0428885318338871,0.042854398116469385,0.04246186539530754,0.0426666647195816
64,56,56,64,64,3,3,1,1,1,1,relu,0.06273706629872322,0.0688981294631958,0.07736319825053214,0.0832511991262436
64,56,56,64,64,3,3,1,1,1,1,identity,0.056593068316578864,0.06301013305783272,0.07156053930521011,0.07720959931612015
64,56,56,128,64,1,1,2,2,0,0,relu,0.031061331555247308,0.030463998951017857,0.03174399994313717,0.03179519958794117
64,56,56,128,64,3,3,2,2,1,1,relu,0.06109866686165333,0.0696490652859211,0.06324906945228577,0.05818026699125767
128,28,28,128,128,3,3,1,1,1,1,identity,0.06290773302316666,0.06830080151557923,0.0651776023209095,0.07041706666350364
128,28,28,128,128,3,3,1,1,1,1,relu,0.06814720034599304,0.07309653908014298,0.07029760032892227,0.07603200450539589
128,28,28,256,128,1,1,2,2,0,0,relu,0.03534506671130657,0.03517439924180508,0.03676160015165806,0.03662506677210331
128,28,28,256,128,3,3,2,2,1,1,relu,0.06632106453180313,0.07108266949653626,0.06891519725322723,0.07391573414206505
256,14,14,256,256,3,3,1,1,1,1,identity,0.06693546772003174,0.07246507108211517,0.0697514683008194,0.07415466532111167
256,14,14,256,256,3,3,1,1,1,1,relu,0.07191893756389618,0.07674880027770996,0.07383040115237235,0.07879679873585702
256,14,14,512,256,1,1,2,2,0,0,relu,0.03964586518704891,0.039372799918055534,0.04275199845433235,0.04415146671235561
256,14,14,512,256,3,3,2,2,1,1,relu,0.06944426596164703,0.07336960136890411,0.0769706703722477,0.07831893786787987
512,7,7,512,512,3,3,1,1,1,1,identity,0.079991465061903,0.08372906520962715,0.0817322626709938,0.08569172918796539
512,7,7,512,512,3,3,1,1,1,1,relu,0.08412159532308579,0.08837120160460472,0.0860501304268837,0.09011199846863746
