IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,3,3,1,1,1,1,relu,0.04201813153922558,0.04183040037751198,0.04142079912126064,0.04171093218028545
64,112,112,128,64,3,3,1,1,1,1,relu,0.08767146542668343,0.09323520213365555,0.10176852867007255,0.10924372971057891
128,56,56,256,128,3,3,1,1,1,1,relu,0.07330133765935898,0.06727680191397667,0.07591253817081452,0.06935893222689629
256,56,56,256,256,3,3,1,1,1,1,relu,0.12346026301383972,0.11634346470236778,0.12503039687871934,0.12088320478796959
256,28,28,512,256,3,3,1,1,1,1,relu,0.0850261315703392,0.09125546738505363,0.08772266805171966,0.09205760285258294
512,28,28,512,512,3,3,1,1,1,1,relu,0.12670294046401978,0.12352854013442993,0.1293824076652527,0.12258985936641693
512,14,14,512,512,3,3,1,1,1,1,relu,0.11035306975245476,0.11610453128814698,0.11192320585250855,0.11823786571621894
