IN_C,IN_H,IN_W,OP_TYPE,NCHW,NHWC
64,56,56,add,0.010547199845314026,0.010547199845314026
128,28,28,add,0.010035199671983719,0.009813333116471767
256,14,14,add,0.00948906671255827,0.009642666392028331
512,7,7,add,0.009437866695225238,0.009386666864156724
