IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,3,3,1,1,1,1,relu,0.04218879789113998,0.05038079805672169,0.04500480033457279,0.05333333015441895
64,224,224,64,64,3,3,1,1,1,1,relu,0.15177387297153472,0.18036052882671355,0.15784960389137268,0.15784960389137268
64,112,112,128,64,3,3,1,1,1,1,relu,0.08671573475003243,0.1005738615989685,0.10678613111376763,0.11909120604395866
128,112,112,128,128,3,3,1,1,1,1,relu,0.11463679671287537,0.13713065385818482,0.12130987495183945,0.13853013068437575
128,56,56,256,128,3,3,1,1,1,1,relu,0.07946240082383156,0.07463253661990166,0.08026453405618668,0.07983786463737488
256,56,56,256,256,3,3,1,1,1,1,relu,0.12503039613366126,0.12388692647218705,0.1308842718601227,0.12975786924362182
256,28,28,512,256,3,3,1,1,1,1,relu,0.08608426600694656,0.09750187247991562,0.09163093566894531,0.10265599712729453
512,28,28,512,512,3,3,1,1,1,1,relu,0.13388800919055938,0.12914347499608994,0.13552640080451966,0.11707733199000359
512,14,14,512,512,3,3,1,1,1,1,relu,0.09738240316510201,0.10678612813353539,0.10195626392960548,0.11083093583583832
