IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,3,3,1,1,1,1,relu,0.04200106561183929,0.04169386513531208,0.04174506552517414,0.04201813191175461
64,224,224,64,64,3,3,1,1,1,1,relu,0.15047680884599685,0.164744533598423,0.15848106890916824,0.14392320513725282
64,112,112,128,64,3,3,1,1,1,1,relu,0.08593066409230232,0.09362773224711418,0.2190677374601364,0.11004586815834046
128,112,112,128,128,3,3,1,1,1,1,relu,0.11368107348680496,0.1247914619743824,0.11526826694607735,0.12741973549127578
128,56,56,256,128,3,3,1,1,1,1,relu,0.07328427061438561,0.06763520315289498,0.07572480589151383,0.07010986506938935
256,56,56,256,256,3,3,1,1,1,1,relu,0.12342612594366073,0.11717973351478576,0.12571306973695756,0.11907413601875305
256,28,28,512,256,3,3,1,1,1,1,relu,0.0851626642048359,0.09050453603267669,0.0821589358150959,0.08140799328684807
512,28,28,512,512,3,3,1,1,1,1,relu,0.11311786994338036,0.10463573262095452,0.11223040148615837,0.10716159716248512
512,14,14,512,512,3,3,1,1,1,1,relu,0.09734827131032944,0.10446506589651108,0.09885013103485107,0.10337279886007308
