IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,11,11,4,4,2,2,relu,0.05469866506755352,0.06347093433141708,0.07497386485338212,0.07403520047664643
64,28,28,192,64,5,5,1,1,2,2,relu,0.07237973511219024,0.08272213339805604,0.07794346436858177,0.07731200233101845
192,14,14,384,192,3,3,1,1,0,0,relu,0.0960682712495327,0.08475306406617164,0.07990613281726837,0.08973653241991997
384,12,12,256,384,3,3,1,1,0,0,relu,0.0793087974190712,0.08913919851183891,0.08408746272325515,0.09425920024514198
256,10,10,256,256,3,3,1,1,0,0,relu,0.07350613549351692,0.0834901362657547,0.07860906571149825,0.08809813484549522
