IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,7,7,2,2,3,3,relu,0.04235946536064148,0.04756480045616627,0.05186559930443764,0.057019734382629396
64,56,56,64,64,3,3,1,1,1,1,relu,0.061951997131109236,0.07384746745228768,0.08094719722867012,0.09016319960355759
64,56,56,64,64,3,3,1,1,1,1,identity,0.05657600127160549,0.06789120063185691,0.07495679929852486,0.08434346318244934
64,56,56,128,64,1,1,2,2,0,0,relu,0.030225066281855107,0.03474773243069649,0.03561813421547413,0.038570667058229445
64,56,56,128,64,3,3,2,2,1,1,relu,0.0611669335514307,0.07034879997372627,0.06543359830975533,0.06483626738190651
128,28,28,128,128,3,3,1,1,1,1,identity,0.06260053254663944,0.07268693670630455,0.06722560226917267,0.07688533365726472
128,28,28,128,128,3,3,1,1,1,1,relu,0.0710826687514782,0.07768746316432953,0.07239680513739585,0.08191999718546868
128,28,28,256,128,1,1,2,2,0,0,relu,0.03433813340961933,0.039082666486501695,0.039611732587218285,0.04399786740541458
128,28,28,256,128,3,3,2,2,1,1,relu,0.066508799046278,0.07550293877720833,0.07113386914134026,0.0800938680768013
256,14,14,256,256,3,3,1,1,1,1,identity,0.07220906913280487,0.08178346306085586,0.07669760286808014,0.08671573549509048
256,14,14,256,256,3,3,1,1,1,1,relu,0.07700479850172996,0.08724480122327805,0.07598080411553383,0.08070826232433319
256,14,14,512,256,1,1,2,2,0,0,relu,0.03662506863474846,0.040925866737961766,0.043929599970579145,0.048691203072667125
256,14,14,512,256,3,3,2,2,1,1,relu,0.06632106453180313,0.07425706759095192,0.0703317329287529,0.07942826375365257
512,7,7,512,512,3,3,1,1,1,1,identity,0.07567360624670982,0.0833877332508564,0.07971839979290962,0.08750080242753029
512,7,7,512,512,3,3,1,1,1,1,relu,0.07947946488857269,0.08731306791305542,0.08378026634454727,0.09101653322577477
