IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,11,11,4,4,2,2,relu,0.0704261340200901,0.06979679837822914,0.07013333439826966,0.06976640149950981
64,28,28,192,64,5,5,1,1,2,2,relu,0.10280746519565583,0.09856107234954833,0.11189653649926186,0.1080399952828884
192,14,14,384,192,3,3,1,1,0,0,relu,0.10247306749224663,0.10836266651749611,0.11904853507876396,0.1160421296954155
384,12,12,256,384,3,3,1,1,0,0,relu,0.13642986118793488,0.14081119745969772,0.15403626710176468,0.15084960758686067
256,10,10,256,256,3,3,1,1,0,0,relu,0.10873919874429702,0.11524800211191177,0.12574879974126815,0.12292799726128578
