IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,7,7,2,2,3,3,relu,0.08345013409852982,0.10512853339314461,0.08297546729445457,0.10554880052804946
64,56,56,64,64,3,3,1,1,1,1,relu,0.08377760127186776,0.0895957350730896,0.10300106927752495,0.09963893294334411
64,56,56,64,64,3,3,1,1,1,1,identity,0.08009386509656906,0.08789279982447624,0.09960320070385933,0.09576213732361794
64,56,56,128,64,1,1,2,2,0,0,relu,0.03925546556711197,0.03915786631405353,0.041484265401959416,0.0420223992317915
64,56,56,128,64,3,3,2,2,1,1,relu,0.08250879570841789,0.07901973277330399,0.08841173723340034,0.08685759976506233
128,28,28,128,128,3,3,1,1,1,1,identity,0.08861013576388359,0.08149226605892182,0.09709706977009773,0.09357493370771408
128,28,28,128,128,3,3,1,1,1,1,relu,0.09215200170874596,0.08374666646122933,0.10035466104745865,0.09688000082969665
128,28,28,256,128,1,1,2,2,0,0,relu,0.04046986661851406,0.041564266011118886,0.04499520137906075,0.043700266256928445
128,28,28,256,128,3,3,2,2,1,1,relu,0.08370080068707467,0.08368053436279296,0.09935146793723107,0.0965461365878582
256,14,14,256,256,3,3,1,1,1,1,identity,0.10972533226013184,0.11529866456985474,0.12565653622150422,0.12251839563250541
256,14,14,256,256,3,3,1,1,1,1,relu,0.11257653683423996,0.11783146634697914,0.1288410723209381,0.12587146386504172
256,14,14,512,256,1,1,2,2,0,0,relu,0.044812801852822305,0.04498613402247429,0.047242133691906926,0.04719200022518635
256,14,14,512,256,3,3,2,2,1,1,relu,0.13326026797294616,0.13051626980304717,0.1361727997660637,0.13329173773527145
512,7,7,512,512,3,3,1,1,1,1,identity,0.1955104038119316,0.19294773936271667,0.19592746943235398,0.19268107116222383
512,7,7,512,512,3,3,1,1,1,1,relu,0.197958405315876,0.19571733474731445,0.19768480360507965,0.19528960436582565
