IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,3,3,1,1,1,1,relu,0.2217349350452423,0.20592052936553956,0.22209546715021133,0.21061546355485916
64,112,112,128,64,3,3,1,1,1,1,relu,0.23317225724458696,0.2663541346788406,0.30565866231918337,0.274373859167099
128,56,56,256,128,3,3,1,1,1,1,relu,0.20048319697380065,0.2120106652379036,0.21946560144424437,0.2061759978532791
256,56,56,256,256,3,3,1,1,1,1,relu,0.28333066701889037,0.29571732878685,0.3241450756788254,0.31221866607666016
256,28,28,512,256,3,3,1,1,1,1,relu,0.23028640002012252,0.23621067255735398,0.2645679980516434,0.2587322771549225
512,28,28,512,512,3,3,1,1,1,1,relu,0.35517279505729676,0.3622197359800339,0.4462832033634186,0.4410645514726639
512,14,14,512,512,3,3,1,1,1,1,relu,0.1962810680270195,0.18922773748636246,0.19494400024414063,0.1911205381155014
